Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Grenoble,0.69,1.3,3.22,2.9,0.74,1.2,4.03,1.9,2.14,1.9,1.07,1.3,0.66,0.9,0.97,1.8,3.03,1.5,1.63,1.6,2.96,2.3,0.92,1.3
Lille,2.44,2.2,1.93,2.3,0.82,1.3,2.15,3.0,3.88,2.5,0.67,1.2,5.65,4.8,2.49,1.3,2.34,2.1,1.51,1.4,3.88,3.1,2.55,1.7
Limoges,1.08,1.1,1.16,1.0,0.74,0.9,0.73,1.0,0.41,0.6,0.68,0.6,1.7,2.0,1.63,1.0,0.54,0.5,0.59,0.5,0.94,1.0,0.96,0.9
Lyon,0.38,0.6,0.49,0.8,1.34,1.1,0.33,0.6,0.98,0.6,0.96,0.5,0.42,0.4,0.29,0.6,0.5,0.7,0.64,0.9,0.34,0.5,0.73,0.8
Marseille,0.66,0.7,1.45,1.2,0.95,0.5,0.74,0.6,0.39,0.6,0.34,0.6,0.34,0.4,0.63,0.9,0.18,0.2,0.26,0.2,0.35,0.5,0.66,0.6
Melun,0.2,0.2,0.2,0.2,0.14,0.2,0.07,0.1,0.14,0.2,0.17,0.2,0.15,0.1,0.25,0.3,0.14,0.1,0.13,0.1,0.1,0.1,0.06,0.1
Metz,0.15,0.2,0.58,0.3,0.25,0.2,0.07,0.1,0.23,0.3,0.11,0.2,0.12,0.2,0.15,0.2,0.09,0.2,0.09,0.1,0.11,0.1,0.13,0.1
Nimes,1.69,0.8,0.55,0.6,1.36,1.2,1.1,1.0,1.87,1.7,2.36,1.8,0.73,0.9,0.57,1.0,1.01,1.2,0.57,0.5,0.9,0.8,1.08,1.4
Nancy,1.83,1.5,0.55,0.9,0.81,1.2,0.7,0.7,0.7,1.2,2.04,1.7,2.41,1.9,1.91,1.6,1.07,1.3,1.5,2.1,0.4,0.7,0.87,1.2
Nanterre,2.66,2.6,1.69,1.3,2.01,1.1,2.91,3.1,0.75,0.8,0.88,1.2,4.14,2.1,2.86,3.0,1.26,1.1,1.02,1.6,1.1,1.3,0.61,0.7
Nantes,1.02,0.9,1.24,1.8,1.58,1.4,0.69,0.9,1.16,2.2,3.63,3.3,0.63,0.8,0.77,1.4,1.31,1.7,0.55,1.1,1.37,1.4,1.47,2.5
Nice,2.01,1.2,0.82,0.8,0.27,0.5,0.28,0.3,0.53,0.6,0.46,0.7,1.38,0.7,0.44,0.6,1.06,1.1,0.46,0.5,0.31,0.4,0.68,0.4
Perigueux,0.73,0.4,0.1,0.2,0.43,0.4,0.18,0.3,0.56,0.6,0.4,0.3,0.28,0.2,0.39,0.3,0.2,0.2,0.2,0.2,0.15,0.2,0.28,0.3
Paris_Nord,0.13,0.2,0.12,0.2,0.2,0.3,0.39,0.5,0.12,0.2,0.11,0.1,0.21,0.3,0.26,0.2,0.15,0.2,0.24,0.2,0.19,0.3,0.35,0.3
Paris_Sud,0.27,0.3,0.7,0.6,0.55,0.6,0.89,0.6,0.3,0.4,0.61,0.7,0.4,0.7,0.69,0.7,0.98,0.9,0.47,0.5,0.26,0.3,0.48,0.5
Pau,0.76,0.7,0.83,1.5,2.43,2.4,0.87,1.0,1.09,1.1,1.58,1.3,1.97,1.1,0.47,0.9,0.61,1.0,0.5,0.7,0.69,1.2,1.19,1.1
Quimper,1.52,1.0,0.63,1.0,1.35,1.2,1.1,1.7,1.02,0.9,1.02,0.7,0.85,1.1,0.44,0.9,0.89,0.8,0.57,0.8,1.17,1.0,0.55,0.8
Rodez,1.27,1.7,1.2,1.6,0.61,0.9,2.23,1.2,0.57,0.7,0.44,0.7,1.64,1.4,1.1,1.2,1.42,1.8,2.77,1.9,1.98,1.8,0.84,1.1
Rouen,4.75,3.9,2.46,2.2,2.34,1.5,1.04,1.1,1.23,1.7,2.32,1.3,1.73,1.4,1.18,1.4,3.05,3.3,2.68,2.3,4.2,3.5,1.49,2.6
St_Brieuc,1.4,1.3,3.29,3.5,1.11,1.8,1.15,1.0,1.3,2.1,1.78,2.0,0.98,0.8,3.75,1.8,1.47,1.2,0.86,1.4,2.23,2.6,1.48,1.5
St_Etienne,1.06,1.3,1.94,1.7,0.76,0.8,0.89,1.4,1.47,1.3,3.58,1.9,1.66,1.4,1.11,1.7,0.79,1.3,1.21,2.1,1.7,1.7,0.74,1.3
Strasbourg,2.39,2.4,0.96,1.1,2.69,2.4,1.22,1.3,2.17,3.2,1.07,1.1,2.47,2.0,1.73,2.0,1.89,1.8,1.65,2.2,3.76,2.9,1.31,1.4
Tarbes,2.3,1.2,1.74,1.6,1.26,1.7,0.68,1.2,0.82,1.5,0.57,0.8,2.26,2.0,1.71,1.6,2.68,1.7,0.9,1.0,0.94,1.7,1.27,0.8
Toulon,0.55,0.6,0.23,0.4,0.38,0.4,0.41,0.8,0.72,0.6,0.37,0.3,0.35,0.4,0.21,0.3,0.42,0.6,0.45,0.7,0.78,0.9,0.59,0.5
Tours,0.64,0.9,1.75,0.9,0.57,0.6,0.53,0.4,0.22,0.4,0.5,0.7,0.25,0.5,1.24,1.1,0.3,0.4,0.63,0.7,0.23,0.4,0.35,0.5
Troyes,0.78,1.1,0.81,0.4,0.96,0.9,1.28,1.1,0.71,0.8,0.5,0.7,1.13,0.6,0.44,0.5,0.29,0.4,0.53,0.6,0.42,0.7,0.67,1.2
Valence,0.36,0.4,1.34,1.2,1.79,1.0,0.49,1.0,0.91,1.0,1.83,0.9,1.04,0.9,0.85,0.9,1.47,0.7,0.51,0.4,0.32,0.5,1.78,1.1
Valenciennes,1.08,1.5,1.46,1.5,1.04,1.3,2.65,1.7,1.08,1.8,0.62,1.2,1.18,1.6,0.68,0.7,3.51,1.8,1.07,1.1,2.45,2.0,1.13,1.3
Versailles,0.85,1.4,2.2,2.6,2.29,2.1,6.13,3.0,4.36,3.3,0.93,1.0,0.89,0.9,2.73,2.2,1.78,1.5,1.35,1.3,1.75,2.5,1.16,1.6
