Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Dijon,134.9,134.9,242.9,124.1,64.8,32.4,199.7,188.9,134.9,118.7,226.7,215.9,107.9,145.7,188.9,291.4,161.9,124.1,161.9,134.9,107.9,199.7,264.4,302.2
Evry,72.8,86.8,70.0,58.8,123.2,243.6,165.2,151.2,95.2,98.0,89.6,109.2,120.4,128.8,196.0,221.2,92.4,109.2,193.2,140.0,81.2,47.6,182.0,243.6
Foix,115.9,186.5,50.4,45.4,40.3,45.4,115.9,126.0,45.4,55.5,60.5,70.6,20.2,25.2,80.7,80.7,60.5,60.5,95.8,115.9,30.2,30.2,141.2,126.0
Grenoble,47.9,28.8,52.7,52.7,71.9,71.9,124.6,129.4,47.9,38.3,91.1,100.7,28.8,38.3,105.4,124.6,57.5,57.5,81.5,52.7,57.5,62.3,71.9,76.7
Lille,234.5,217.8,79.6,62.8,75.4,54.4,238.7,305.7,163.3,129.8,113.1,142.4,62.8,37.7,188.5,150.8,205.2,205.2,201.0,188.5,50.3,50.3,259.7,318.3
Limoges,142.8,178.5,172.5,196.3,124.9,154.7,190.4,148.7,136.8,154.7,297.4,333.1,83.3,41.6,261.7,273.6,130.9,142.8,279.6,220.1,148.7,124.9,237.9,130.9
Lyon,0.0,0.0,0.0,11.7,0.0,11.7,0.0,0.0,23.3,46.6,11.7,0.0,11.7,23.3,58.3,70.0,81.6,58.3,105.0,93.3,46.6,58.3,139.9,81.6
Marseille,446.5,348.8,216.3,202.3,195.3,118.6,495.3,327.9,397.6,481.4,174.4,216.3,258.1,132.5,565.1,327.9,195.3,104.6,334.9,195.3,341.8,634.8,355.8,369.7
Melun,178.4,157.0,199.8,221.2,142.7,160.6,160.6,196.2,117.7,114.2,214.1,224.8,82.1,74.9,192.7,239.1,89.2,96.3,167.7,157.0,50.0,53.5,171.3,217.6
Metz,119.6,119.6,206.0,199.4,166.1,93.0,206.0,159.5,126.3,59.8,232.6,172.8,99.7,179.4,172.8,199.4,139.5,99.7,79.7,66.5,126.3,66.5,259.2,192.7
Nimes,95.6,72.8,150.2,191.1,72.8,54.6,122.9,122.9,54.6,45.5,109.2,122.9,36.4,18.2,104.7,63.7,54.6,50.1,100.1,127.4,54.6,72.8,204.8,250.3
Nancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,39.4,78.7,91.9,91.9,52.5,105.0,131.2,91.9,52.5,91.9,78.7,78.7,105.0,157.5,118.1
Nanterre,63.4,40.3,103.7,69.1,86.4,92.2,155.6,184.4,167.1,345.7,63.4,34.6,132.5,161.3,144.0,126.7,103.7,74.9,103.7,74.9,46.1,34.6,144.0,126.7
Nantes,336.5,315.1,336.5,322.2,214.8,164.7,343.7,601.5,286.4,343.7,143.2,179.0,293.6,207.6,415.3,272.1,365.2,207.6,250.6,121.7,85.9,78.8,379.5,300.7
Nice,97.1,68.6,114.3,68.6,120.0,131.4,154.3,91.4,137.1,97.1,74.3,97.1,102.9,80.0,211.4,148.6,97.1,102.9,154.3,142.9,68.6,142.9,148.6,285.7
Perigueux,131.8,75.3,103.6,61.2,113.0,70.6,216.6,183.6,70.6,80.1,146.0,169.5,94.2,122.4,160.1,108.3,131.8,160.1,84.8,89.5,136.6,89.5,183.6,282.5
Paris_Nord,160.3,171.0,101.5,133.6,80.2,58.8,160.3,299.2,80.2,42.7,192.4,240.5,128.2,208.4,240.5,138.9,165.6,176.3,187.0,101.5,64.1,85.5,229.8,229.8
Paris_Sud,107.1,132.3,321.3,258.3,100.8,75.6,296.1,226.8,144.9,189.0,233.1,252.0,50.4,88.2,195.3,132.3,182.7,163.8,157.5,201.6,88.2,88.2,252.0,321.3
Pau,201.9,108.7,194.1,132.0,77.6,46.6,217.4,139.7,240.7,310.5,201.9,163.0,38.8,38.8,194.1,139.7,186.3,232.9,163.0,124.2,100.9,69.9,209.6,442.5
Quimper,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,7.9,11.9,7.9,7.9,7.9,4.0,23.7,27.7,67.2,55.4,59.3,51.4,27.7,27.7,55.4,67.2
Rodez,127.8,142.8,142.8,112.7,52.6,22.5,97.7,97.7,120.2,75.2,112.7,75.2,105.2,127.8,150.3,135.3,90.2,150.3,150.3,135.3,75.2,90.2,105.2,135.3
Rouen,110.9,181.4,85.7,120.9,161.2,151.2,181.4,186.4,50.4,65.5,90.7,45.4,25.2,10.1,141.1,95.7,141.1,141.1,45.4,40.3,55.4,45.4,176.4,120.9
St_Brieuc,250.7,285.3,198.8,181.6,138.3,164.3,700.3,639.8,285.3,164.3,95.1,77.8,77.8,69.2,328.5,198.8,319.9,164.3,207.5,138.3,69.2,60.5,345.8,233.4
St_Etienne,257.9,205.2,205.2,175.8,105.5,76.2,187.6,146.5,164.1,134.8,187.6,105.5,70.3,46.9,129.0,134.8,164.1,181.7,228.6,193.4,164.1,170.0,234.5,257.9
Strasbourg,248.1,218.2,192.5,98.4,188.2,196.8,213.9,149.7,239.6,290.9,205.3,419.2,136.9,136.9,273.8,265.2,115.5,81.3,145.4,85.6,188.2,132.6,312.3,162.6
Tarbes,180.6,130.0,238.4,144.5,115.6,79.5,202.3,231.2,281.8,289.0,216.7,137.3,101.1,57.8,187.8,180.6,296.2,180.6,173.4,151.7,158.9,122.8,231.2,267.3
Toulon,31.0,18.6,18.6,24.8,37.2,37.2,68.2,49.6,18.6,12.4,43.4,24.8,31.0,31.0,55.8,24.8,68.2,142.6,55.8,111.6,18.6,12.4,55.8,99.2
Tours,66.3,81.6,66.3,61.2,51.0,61.2,107.0,209.0,56.1,66.3,71.4,127.4,25.5,40.8,101.9,56.1,96.8,51.0,71.4,40.8,40.8,45.9,132.5,173.3
Troyes,186.5,173.2,206.5,106.6,86.6,53.3,213.1,226.4,79.9,53.3,119.9,139.9,119.9,113.2,159.8,213.1,233.1,119.9,186.5,146.5,126.5,66.6,166.5,93.2
Valence,237.6,350.5,148.0,268.7,136.3,70.1,194.7,194.7,331.1,346.6,148.0,167.5,132.4,101.3,350.5,409.0,342.7,424.5,187.0,194.7,136.3,159.7,401.2,557.0
Valenciennes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,76.2,93.2,135.5,211.7,76.2,50.8,93.2,67.8,330.3,415.0,279.5,254.1,127.0,144.0,262.5,144.0
Versailles,449.0,440.3,181.3,172.7,341.0,332.4,453.3,449.0,181.3,107.9,302.2,310.8,125.2,159.7,500.8,392.8,366.9,552.6,284.9,168.4,215.8,224.5,228.8,276.3
