Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Chambery,0.63,0.7,0.86,0.7,0.56,0.6,0.98,1.5,1.43,1.2,0.81,0.9,0.44,0.4,1.26,0.7,0.3,0.6,0.93,1.0,0.39,0.4,0.18,0.3
Clermont_Ferrand,0.8,1.5,1.99,1.4,2.07,1.7,0.68,0.7,0.38,0.7,2.65,1.4,0.77,0.9,1.34,1.1,1.05,0.9,1.68,1.6,3.15,1.6,1.07,1.2
Creteil,0.89,1.3,1.67,1.3,1.86,1.4,1.8,1.9,0.84,1.3,2.8,2.1,3.03,1.8,2.48,2.2,3.08,3.1,2.33,2.5,2.67,2.1,3.06,2.8
Digne,2.26,2.6,1.2,1.4,3.06,2.6,3.02,2.7,1.32,1.1,2.55,1.3,1.96,2.8,2.89,2.8,2.04,1.0,0.86,1.3,1.61,3.0,2.71,2.8
Dijon,1.44,2.0,1.34,1.3,0.95,1.0,1.2,1.0,0.87,0.9,0.86,0.7,0.66,0.8,0.96,1.0,1.53,1.2,1.68,1.8,1.02,0.9,0.75,1.2
Evry,0.95,1.2,0.7,0.8,1.06,1.0,0.58,0.9,0.69,0.5,0.85,1.0,0.99,0.9,1.54,1.5,1.45,1.1,1.68,0.9,0.94,0.9,0.69,1.1
Foix,0.71,0.8,1.55,1.1,0.59,0.6,1.83,1.8,0.84,1.3,0.48,0.9,1.2,1.3,1.2,1.3,1.73,1.2,0.49,1.0,1.08,0.9,1.69,1.3
Grenoble,1.79,1.6,1.16,2.0,1.82,2.1,2.9,3.7,1.09,1.9,1.57,2.4,0.81,1.6,1.11,1.6,2.71,1.6,3.49,3.5,3.87,4.7,0.04,0.0
Lille,2.0,2.5,1.15,1.7,1.2,1.4,2.77,2.4,1.63,1.6,1.18,2.1,3.52,2.8,4.26,2.3,2.04,1.3,1.87,2.4,3.46,3.1,1.75,2.3
Limoges,1.61,2.9,2.83,2.3,2.16,2.2,1.8,3.4,0.49,0.8,1.75,1.6,1.95,2.3,3.85,3.2,1.15,1.0,1.1,1.0,0.78,0.6,1.45,1.7
Lyon,1.04,1.1,0.69,1.2,1.62,1.4,1.63,2.1,1.1,1.1,0.61,0.9,1.43,2.0,0.48,0.7,1.52,1.4,0.37,0.7,1.22,1.2,2.41,1.6
Marseille,0.97,1.0,1.03,1.4,0.92,0.7,0.66,0.6,0.91,1.4,1.05,1.5,1.11,1.5,0.81,1.2,1.13,1.6,1.01,1.2,0.52,0.7,0.97,1.0
Melun,2.26,2.5,1.3,0.8,1.73,2.5,1.68,2.3,2.49,1.6,0.59,1.0,1.35,1.2,0.64,0.9,0.51,0.6,0.46,0.7,1.1,0.7,2.59,1.5
Metz,1.28,1.1,0.88,0.7,1.06,1.1,1.43,1.4,1.09,1.1,0.84,1.1,0.82,1.0,0.51,0.7,1.36,1.6,0.34,0.6,0.43,0.8,3.07,1.6
Nimes,0.58,1.1,1.17,1.1,1.45,1.3,1.28,1.8,2.22,1.4,1.06,1.4,2.3,2.0,3.99,2.2,2.64,2.1,1.58,1.6,0.82,1.0,2.54,2.0
Nancy,1.5,1.4,1.58,2.5,2.54,2.8,1.19,1.7,3.27,2.0,0.93,1.5,2.77,2.4,1.52,1.5,2.13,1.9,0.74,1.5,0.8,1.3,2.38,3.0
Nanterre,1.4,1.4,0.74,1.4,1.39,1.8,3.12,3.5,2.64,1.6,1.99,1.9,2.01,1.9,0.55,0.9,0.92,0.8,1.34,1.8,1.0,1.7,1.9,1.7
Nantes,3.66,2.2,2.19,2.2,0.76,1.1,2.08,1.9,1.33,1.4,0.91,1.2,1.16,1.1,1.91,2.6,1.36,1.3,2.15,1.3,2.85,3.3,4.3,2.6
Nice,1.08,1.9,1.26,1.3,2.71,1.5,0.84,1.5,1.02,1.9,2.15,3.3,1.19,1.0,1.17,1.2,2.02,1.7,1.68,1.4,3.65,2.0,1.02,1.2
Perigueux,0.79,0.4,0.56,0.6,0.7,0.5,0.81,0.6,0.98,0.6,1.89,1.5,0.73,0.6,2.03,1.8,0.5,0.4,0.81,0.8,0.71,0.6,1.03,1.1
Paris_Nord,0.61,0.7,1.18,1.0,1.78,1.0,0.85,0.8,0.85,0.5,0.88,1.2,1.63,1.3,0.6,0.8,0.91,0.7,0.82,0.8,0.66,0.6,0.78,1.4
Paris_Sud,3.2,3.2,1.81,1.7,1.48,1.8,3.91,2.3,1.44,1.5,0.85,1.6,1.44,1.0,3.05,2.2,2.58,1.5,2.1,2.1,0.9,1.3,1.89,3.6
Pau,0.71,0.9,0.77,1.1,1.75,1.6,0.73,1.1,0.84,1.1,1.49,1.7,1.73,1.2,2.84,2.8,0.36,0.7,1.5,1.7,0.6,0.6,1.29,1.0
Quimper,1.4,2.6,1.46,1.1,1.37,1.2,1.25,1.3,3.04,1.5,0.73,0.7,1.91,1.8,2.28,2.4,0.72,1.2,0.48,0.8,1.42,1.9,0.3,0.6
Rodez,0.99,0.9,0.94,0.8,1.06,1.1,1.62,1.0,0.81,0.7,1.31,1.2,0.63,0.6,1.18,0.6,1.26,0.7,0.54,0.5,0.94,1.1,0.53,0.6
Rouen,1.28,1.3,1.32,1.1,0.69,1.1,1.09,1.1,0.49,0.7,2.0,1.0,0.5,0.7,1.12,1.1,0.5,0.7,0.52,0.7,0.8,0.9,2.17,2.4
St_Brieuc,0.8,1.0,1.13,0.7,0.72,0.6,0.42,0.4,0.4,0.7,0.74,0.7,0.95,0.7,0.72,0.6,0.5,0.8,0.3,0.4,0.51,0.4,1.27,1.0
St_Etienne,0.31,0.3,0.62,0.5,1.1,0.7,1.05,0.6,1.47,1.2,0.34,0.4,0.26,0.3,0.42,0.4,0.47,0.9,0.38,0.3,0.31,0.4,0.79,0.7
Strasbourg,1.75,1.9,1.57,1.9,0.67,1.3,0.95,1.1,1.49,1.6,0.87,1.6,1.47,1.5,0.67,1.0,1.92,2.2,2.16,2.5,0.46,0.8,0.69,0.6
Tarbes,2.02,1.4,1.35,1.2,1.19,1.3,2.04,2.3,0.7,0.6,0.49,0.6,0.6,0.7,1.32,1.0,0.85,0.8,1.05,1.0,0.52,0.9,2.03,2.1
Toulon,0.95,1.4,1.16,1.0,2.72,2.6,0.65,1.0,0.95,0.8,3.12,1.6,1.49,1.6,2.38,2.0,0.83,1.1,1.27,1.1,1.65,1.5,0.85,1.2
Tours,1.11,1.0,1.78,2.0,1.25,1.5,0.89,1.1,0.38,0.6,0.75,0.9,0.93,0.9,0.91,0.9,1.89,1.2,0.68,1.1,4.27,2.4,0.68,1.3
Troyes,1.99,1.6,2.23,2.9,2.18,2.3,3.08,2.1,1.79,1.8,3.52,1.9,1.74,1.6,2.41,2.0,0.63,1.1,1.95,2.3,1.33,1.1,3.05,2.4
Valence,3.84,2.4,0.9,1.3,2.48,2.3,1.73,1.5,0.99,1.7,2.27,2.1,1.91,2.8,1.16,1.7,2.88,2.7,1.43,2.6,1.4,2.1,2.92,2.9
Valenciennes,2.1,1.2,1.38,1.4,3.11,3.3,1.16,1.6,0.68,1.4,1.3,1.5,1.43,0.8,0.46,0.9,1.33,2.4,2.69,2.1,1.75,1.5,1.45,1.6
Versailles,1.36,1.4,0.94,0.6,1.32,1.2,0.86,1.0,0.99,1.4,1.0,0.8,1.55,1.5,1.04,0.7,0.79,1.0,1.0,1.3,1.74,1.4,0.87,1.3
