Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Metz,-1.17,,0.0,,-1.21,,0.49,,-0.99,,0.0,,1.25,,-1.79,,0.18,,-0.45,,1.68,,2.9,
Nimes,0.9,,-1.57,,1.12,,0.09,,-0.27,,0.0,,0.26,,1.56,,1.65,,3.79,,4.5,,0.39,
Nancy,0.82,,0.66,,0.26,,1.99,,-0.67,,-0.98,,2.51,,0.0,,3.34,,2.92,,0.41,,1.94,
Nanterre,2.4,,0.77,,-0.07,,1.23,,1.56,,1.57,,-0.62,,0.0,,0.52,,0.0,,0.08,,0.21,
Nantes,2.73,,3.21,,1.21,,-0.51,,0.84,,0.0,,0.0,,0.0,,3.46,,-1.19,,0.29,,2.55,
Nice,1.83,,-0.7,,1.77,,1.42,,2.74,,0.32,,0.0,,-0.66,,-0.4,,2.0,,3.2,,0.86,
Perigueux,1.83,,0.75,,3.81,,0.88,,1.53,,0.31,,0.97,,-0.36,,4.92,,-0.29,,0.63,,0.14,
Paris_Nord,4.04,,-0.79,,0.0,,1.25,,1.4,,1.22,,0.57,,1.35,,0.75,,-0.32,,-0.07,,0.66,
Paris_Sud,0.11,,-0.06,,0.58,,0.0,,1.25,,0.01,,0.0,,1.96,,2.55,,1.32,,0.22,,1.9,
Pau,-0.44,,-0.9,,-1.17,,1.04,,0.02,,0.11,,0.94,,0.0,,0.61,,2.78,,1.87,,0.73,
Quimper,4.64,,0.0,,2.42,,-1.04,,0.59,,1.4,,-0.66,,0.2,,2.99,,3.44,,0.0,,0.0,
Rodez,-0.11,,0.61,,-0.07,,-0.37,,-1.25,,-1.3,,-0.47,,0.41,,-0.83,,1.48,,0.53,,0.0,
Rouen,-0.76,,-0.33,,0.0,,0.0,,0.93,,0.0,,0.39,,-1.68,,-0.26,,2.93,,0.33,,4.92,
St_Brieuc,2.17,,-0.09,,-0.42,,1.12,,-0.23,,0.3,,-0.16,,1.59,,0.0,,-1.28,,3.71,,-0.3,
St_Etienne,-0.4,,-0.85,,2.81,,-1.92,,-0.69,,0.0,,1.39,,1.69,,3.12,,0.56,,0.19,,1.94,
Strasbourg,2.03,,0.09,,0.0,,1.02,,1.84,,1.64,,0.11,,-0.37,,-1.54,,0.0,,1.27,,2.38,
Tarbes,0.03,,-1.57,,1.62,,3.08,,-1.73,,1.71,,-0.29,,2.05,,0.0,,3.75,,0.44,,-1.01,
Toulon,1.67,,2.84,,1.98,,0.27,,0.0,,0.0,,-0.14,,1.7,,2.39,,3.09,,-0.29,,0.62,
Tours,0.24,,1.23,,0.65,,-1.0,,2.79,,0.06,,0.0,,1.49,,1.93,,0.09,,3.63,,1.15,
Troyes,0.0,,-0.61,,2.83,,2.55,,0.06,,2.88,,1.23,,-1.85,,0.75,,0.98,,0.96,,-1.33,
Valence,-1.3,,0.13,,1.28,,-0.43,,0.22,,0.2,,-0.22,,2.61,,0.0,,-0.47,,3.74,,-0.49,
Valenciennes,0.57,,0.15,,1.85,,1.6,,0.25,,0.01,,4.64,,-0.44,,0.04,,1.41,,0.98,,2.28,
Versailles,3.7,,-0.86,,-0.5,,0.91,,0.89,,1.99,,-0.95,,-1.47,,-0.5,,0.77,,2.0,,1.36,
