Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Marseille,0.93,0.9,2.03,1.6,1.34,1.1,0.33,0.6,1.38,1.1,1.38,1.4,0.58,0.7,0.79,1.1,1.83,1.6,0.98,1.1,1.3,1.2,1.08,1.3
Melun,1.63,1.1,2.55,2.2,3.55,3.4,1.31,1.9,1.95,2.0,0.93,0.9,1.09,2.1,3.02,2.1,2.22,1.9,0.85,1.6,1.23,1.3,2.22,2.0
Metz,0.96,1.6,1.15,1.8,3.82,3.2,3.13,2.7,0.89,1.4,5.14,3.2,2.45,3.1,1.11,1.7,1.61,2.1,2.07,2.7,1.83,2.3,5.01,2.8
Nimes,0.95,1.0,0.69,1.4,2.26,1.8,0.95,1.0,2.14,1.7,1.19,1.2,1.82,1.9,3.94,1.9,1.61,2.4,1.51,1.8,1.37,1.4,3.22,3.3
Nancy,0.88,1.7,0.98,1.7,1.09,0.9,2.01,1.6,2.69,1.8,0.97,1.4,0.87,1.0,1.19,0.9,1.33,1.2,1.3,1.3,1.33,2.2,0.36,0.6
Nanterre,0.76,0.7,0.25,0.4,0.4,0.6,0.48,0.4,0.59,0.5,0.27,0.5,0.32,0.4,0.47,0.5,0.18,0.3,1.21,0.9,0.07,0.1,0.22,0.3
Nantes,0.97,1.2,1.32,1.3,0.52,0.7,0.93,1.2,0.57,1.0,0.4,0.5,2.81,1.4,1.09,0.9,0.64,0.8,2.29,1.3,0.93,1.4,0.66,1.1
Nice,1.05,1.9,3.45,2.2,1.8,1.5,2.78,2.6,2.82,3.5,1.75,2.4,3.3,2.4,1.82,1.5,2.09,2.5,1.48,2.4,2.65,2.0,4.9,5.6
Perigueux,0.47,0.2,0.14,0.1,0.27,0.2,0.35,0.3,0.12,0.2,0.18,0.2,0.14,0.2,0.1,0.1,0.13,0.1,0.56,0.3,0.13,0.1,0.11,0.1
Paris_Nord,1.76,1.5,1.02,1.2,1.09,0.8,1.42,1.3,0.68,0.7,0.88,1.1,0.93,1.0,1.6,1.3,1.38,2.5,0.92,1.8,1.88,2.4,0.01,0.0
Paris_Sud,1.48,1.3,1.85,1.4,2.05,1.8,1.52,1.7,0.51,0.9,1.81,1.5,0.7,1.0,2.82,2.0,1.9,2.0,1.74,0.9,1.91,0.9,3.89,2.7
Pau,1.86,1.9,0.62,1.1,4.28,2.1,2.55,2.3,2.2,1.4,4.14,2.8,0.98,1.7,7.19,4.3,1.78,2.1,1.59,2.8,2.6,2.6,2.18,1.7
Quimper,0.9,1.3,2.3,2.0,1.86,2.1,2.06,1.5,2.05,2.2,1.54,1.7,1.76,2.0,2.45,2.0,0.71,0.9,3.34,1.8,1.69,2.4,1.37,1.4
Rodez,2.67,2.7,1.89,1.7,1.58,2.1,1.66,2.1,2.09,2.1,5.07,2.5,2.0,2.1,2.28,2.0,0.68,1.1,1.0,1.0,1.64,2.7,1.2,1.8
Rouen,0.88,1.7,0.97,0.9,0.85,1.0,0.79,1.1,0.89,0.7,0.87,0.8,0.76,0.9,0.99,0.9,0.43,0.7,1.87,1.7,1.73,1.3,1.11,1.3
St_Brieuc,2.28,2.6,3.14,1.6,1.61,2.1,2.65,2.0,2.92,1.8,1.96,2.0,2.7,2.5,1.68,2.3,7.1,3.7,3.13,1.5,8.08,4.7,2.48,2.2
St_Etienne,2.08,1.6,1.56,1.9,2.18,2.2,2.02,1.7,2.42,1.9,4.63,2.5,1.94,2.3,1.66,2.2,1.82,2.4,1.4,1.6,2.36,2.3,2.78,3.3
Strasbourg,0.92,0.8,0.67,0.9,1.73,1.7,0.38,0.6,1.02,1.0,0.61,0.6,0.56,0.5,0.85,0.8,1.75,0.9,3.04,2.5,0.65,0.9,0.39,0.5
Tarbes,1.63,2.4,1.25,1.8,0.66,0.6,0.96,0.8,0.74,1.1,1.61,1.4,0.47,0.9,1.27,1.7,2.39,1.9,1.22,1.4,0.38,0.6,0.3,0.4
Toulon,0.43,0.4,1.16,1.1,0.32,0.5,0.3,0.4,0.6,0.7,0.86,0.9,0.52,0.9,0.7,0.6,0.43,0.7,1.0,0.9,0.66,0.5,0.9,1.3
Tours,0.25,0.5,0.22,0.2,0.31,0.5,0.23,0.2,0.11,0.1,0.18,0.3,0.46,0.3,0.36,0.2,0.17,0.1,0.16,0.2,0.38,0.2,0.24,0.4
Troyes,0.41,0.5,0.4,0.4,0.87,0.6,0.39,0.5,0.51,0.6,0.74,0.5,0.54,0.6,0.98,0.8,0.83,0.5,0.98,1.1,0.98,0.8,1.24,0.9
Valence,0.68,0.6,0.51,0.4,0.37,0.3,0.44,0.4,0.61,0.5,0.15,0.2,0.33,0.5,0.24,0.3,0.86,0.4,0.38,0.5,0.35,0.6,0.33,0.4
Valenciennes,1.43,1.4,0.37,0.7,0.47,0.7,1.83,2.1,0.7,1.2,0.53,0.6,1.41,1.2,2.07,2.3,0.67,0.7,0.56,0.5,0.73,1.3,1.25,0.9
Versailles,1.62,2.2,3.21,3.1,2.46,3.3,2.21,2.0,2.73,2.5,2.25,3.9,4.13,3.6,2.12,1.5,1.6,1.3,3.49,2.3,3.77,2.5,2.68,2.6
