Villes,O_Janvier,R_Janvier,O_Fevrier,R_Fevrier,O_Mars,R_Mars,O_Avril,R_Avril,O_Mai,R_Mai,O_Juin,R_Juin,O_Juillet,R_Juillet,O_Aout,R_Aout,O_Septembre,R_Septembre,O_Octobre,R_Octobre,O_Novembre,R_Novembre,O_Decembre,R_Decembre
Clermont_Ferrand,0.82,,-0.75,,-0.57,,-0.09,,0.29,,-1.28,,1.23,,3.07,,-0.42,,0.45,,-0.52,,2.03,
Creteil,-1.98,,1.31,,0.0,,-0.4,,-0.02,,0.0,,4.41,,-0.64,,4.66,,0.0,,0.0,,0.7,
Digne,-0.13,,0.08,,1.66,,0.71,,3.08,,0.69,,0.6,,1.71,,0.87,,-1.61,,-0.6,,-0.96,
Dijon,0.0,,-0.78,,1.0,,0.0,,-0.49,,0.51,,0.0,,3.0,,1.09,,3.02,,1.89,,0.06,
Evry,0.31,,0.28,,1.3,,1.4,,-0.3,,0.27,,0.55,,0.77,,-0.93,,-1.91,,-0.3,,-1.29,
Foix,2.38,,3.22,,0.66,,1.14,,0.0,,1.31,,0.55,,0.26,,0.0,,-0.06,,0.0,,1.18,
Grenoble,3.83,,0.0,,0.14,,-0.69,,0.29,,0.16,,0.64,,-1.31,,4.2,,3.31,,-1.17,,0.0,
Lille,-1.69,,-0.1,,0.25,,2.77,,4.2,,2.43,,0.96,,0.0,,-1.09,,3.08,,0.0,,0.16,
Limoges,0.0,,1.03,,0.36,,0.0,,-0.77,,0.21,,2.66,,0.17,,2.27,,-0.62,,0.0,,3.1,
Lyon,3.73,,-0.32,,1.91,,0.0,,0.0,,0.0,,3.74,,-0.71,,0.16,,4.37,,0.0,,0.0,
Marseille,0.0,,0.0,,0.22,,0.53,,2.91,,-0.87,,0.32,,3.57,,0.48,,0.67,,-0.08,,0.7,
Melun,0.72,,-0.05,,0.32,,-1.2,,2.32,,-1.86,,0.0,,-1.99,,2.02,,-0.07,,0.0,,4.38,
Metz,0.36,,0.0,,1.27,,-0.47,,3.8,,0.7,,0.74,,2.69,,-0.63,,2.3,,2.58,,0.57,
Nimes,3.93,,-0.88,,1.12,,0.23,,0.61,,-0.8,,0.0,,0.2,,0.92,,1.16,,-1.62,,0.0,
Nancy,3.71,,1.08,,3.52,,0.0,,0.86,,1.77,,-0.49,,-1.48,,0.67,,0.0,,2.34,,0.1,
Nanterre,1.75,,1.15,,4.0,,3.03,,-0.99,,2.79,,0.01,,0.62,,-0.54,,3.32,,2.78,,2.05,
Nantes,0.6,,0.03,,4.88,,2.83,,0.0,,0.0,,2.73,,1.77,,-0.2,,-1.7,,0.53,,3.16,
Nice,-0.51,,0.82,,-0.07,,-0.82,,-0.28,,-1.79,,0.0,,0.39,,0.0,,2.86,,0.9,,-0.83,
Perigueux,2.28,,0.05,,0.0,,0.84,,2.06,,1.51,,-0.71,,-0.01,,1.52,,4.8,,0.54,,0.99,
Paris_Nord,-1.39,,0.84,,1.76,,1.29,,-1.6,,-0.08,,-0.91,,2.65,,-1.04,,1.08,,0.13,,2.07,
Paris_Sud,0.67,,1.87,,-0.59,,0.58,,0.15,,0.0,,-1.9,,0.58,,0.97,,-0.84,,4.85,,1.45,
Pau,4.24,,0.0,,0.0,,-0.37,,0.88,,0.0,,1.12,,1.39,,4.13,,0.1,,2.24,,0.26,
Quimper,0.79,,-0.1,,2.84,,0.0,,1.16,,0.12,,1.87,,0.11,,-0.97,,2.63,,0.41,,2.01,
Rodez,0.57,,-0.01,,0.0,,-0.24,,0.92,,0.86,,1.04,,0.34,,1.69,,-0.68,,4.01,,0.19,
Rouen,1.72,,0.48,,0.0,,1.42,,0.7,,0.2,,-1.94,,2.38,,-1.73,,-0.36,,1.83,,0.98,
St_Brieuc,1.42,,-0.27,,0.11,,2.25,,2.75,,0.07,,4.32,,0.64,,0.0,,0.76,,0.73,,1.15,
St_Etienne,0.79,,-0.84,,1.48,,0.94,,0.62,,0.89,,0.0,,1.06,,2.23,,-0.28,,-0.78,,1.16,
Strasbourg,0.05,,-0.98,,2.13,,2.82,,0.0,,0.6,,1.98,,3.82,,0.0,,-0.7,,1.35,,0.0,
Tarbes,0.0,,3.37,,1.64,,-0.18,,0.55,,4.25,,1.16,,1.31,,4.47,,-0.9,,-0.86,,-0.47,
Toulon,1.0,,0.0,,2.9,,2.93,,-1.32,,1.55,,4.19,,0.0,,0.11,,0.0,,1.28,,0.43,
Tours,-0.91,,1.4,,0.71,,0.0,,0.95,,0.67,,-0.66,,1.08,,1.5,,3.88,,1.0,,0.42,
Troyes,2.51,,4.62,,0.08,,2.92,,-0.78,,2.22,,2.12,,0.0,,0.85,,0.21,,0.0,,0.0,
Valence,-0.31,,1.93,,0.95,,0.83,,0.62,,3.62,,0.0,,0.0,,0.73,,0.0,,0.0,,0.0,
Valenciennes,1.2,,0.0,,0.0,,1.15,,-0.44,,1.95,,3.47,,0.0,,0.77,,0.11,,0.62,,2.56,
Versailles,2.87,,1.66,,0.0,,-0.51,,-0.24,,0.4,,0.55,,-0.95,,-1.85,,-0.7,,-1.02,,0.0,
